ID,name,country_name,country_id,totalptswon,aces,1st_servepct,1st_servewonpct,2nd_servewonpct,serve_rating,totalgamesplayed,totalgameswon,matcheswon,1st_servereturnwonpct,doublefaults,return_to_service_pts,aces_dfs_ratio,pts_dominance,returngamewon_pct,pt_time(secs),matches_played,games_dominance,breakpts_wonpct,aces_pct,service_games_wonpct,matches_wonpct,pts_won_per_rtngame,upsets_againstpct,tie_breakswon_pct
,Aslan Karatsev,Russian Federation,RUS,,,,,,,,,,,,,,,,,,,62.12,8.03,81.41,,2.544,,
,Christopher Oconnell,Australia,AUS,,,,,,,,,,,,,,,,,,,67.02,7.24,,,,,
,Gregoire Barrere,France,FRA,,,,,,,,,,,,,,,,,,,56.89,7.21,75.57,,2.299,,47.62
,Kamil Majchrzak,Poland,POL,,,,,,,,,,,,,,,,,,,56.43,6.86,74.26,,1.991,,
,Gianluca Mager,Italy,ITA,,,,,,,,,,,,,,,,,,,69.91,6.83,78.55,,2.266,,
,Michael Mmoh,United States,USA,,,,,,,,,,,,,,,,,,,57.69,6.54,,,,,
,Thiago Seyboth Wild,Brazil,BRA,,,,,,,,,,,,,,,,,,,63.64,6.5,,,,,
,Norbert Gombos,Slovakia,SVK,,,,,,,,,,,,,,,,,,,56.35,6.46,74.78,,2.411,,
,Emil Ruusuvuori,Finland,FIN,,,,,,,,,,,,,,,,,,,54,6.25,75,,2.514,,
,Marcos Giron,United States,USA,,,,,,,,,,,,,,,,,,,59.92,6.16,76.26,,2.141,,
,Sebastian Korda,United States,USA,,,,,,,,,,,,,,,,,,,64.71,5.92,77.96,,2.402,,
,Daniel Elahi Galan Riveros,Colombia,COL,,,,,,,,,,,,,,,,,,,60.47,5.9,77.48,,2.366,,
,Bjorn Fratangelo,United States,USA,,,,,,,,,,,,,,,,,,,61.96,5.6,,,,,
,Dominik Koepfer,Germany,GER,,,,,,,,,,,,,,,,,,,59.57,5.39,72.86,,2.474,,
,Dennis Novak,Austria,AUT,,,,,,,,,,,,,,,,,,,54.1,5.15,73.83,,2.276,,
,Soon Woo Kwon,"Korea, Republic of",KOR,,,,,,,,,,,,,,,,,,,60.82,5.04,77.43,50,2.451,15,50
,Pedro Sousa,Portugal,POR,,,,,,,,,,,,,,,,,,,57.89,4.79,70.49,,2.137,,
,Marc Polmans,Australia,AUS,,,,,,,,,,,,,,,,,,,59.31,4.37,71.5,,2.483,,
