ID,name,country_name,country_id,totalptswon,aces,1st_servepct,1st_servewonpct,2nd_servewonpct,serve_rating,totalgamesplayed,totalgameswon,matcheswon,1st_servereturnwonpct,doublefaults,return_to_service_pts,aces_dfs_ratio,pts_dominance,returngamewon_pct,pt_time(secs),matches_played,games_dominance,breakpts_wonpct,aces_pct,service_games_wonpct,matches_wonpct,pts_won_per_rtngame,upsets_againstpct,tie_breakswon_pct
67,Sergiy Stakhovsky,Ukraine,UKR,27441,2335,61.76,71.59,49.5,327.1,9947,4861,172,27.61,933,0.981,2.503,0.948,17.89,36.73,385,0.833,62.26,9.36,,,,,
68,Mischa Zverev,Germany,GER,24873,1650,64.45,69.22,48.71,322.1,7916,3756,133,29.02,728,1.007,2.266,0.943,19.61,36.74,332,0.81,57.14,6.11,,,,,
69,Ryan Harrison,United States,USA,21124,1913,59.42,71.81,50.42,327.5,6870,3322,118,26.7,919,0.971,2.082,0.936,17.71,39.46,277,0.835,38.3,,,,,,
70,Denis Shapovalov,Canada,CAN,16831,1646,58.72,75.85,52.11,340,5264,2699,,27.9,1013,1.01,1.625,1.038,18.47,41.18,,1.148,66.77,10.43,84.89,56.36,2.285,30,48.15
71,Filip Krajinovic,Serbia,SRB,12627,768,63.97,68.54,50.55,323.4,4058,2031,,28.92,309,1.002,2.485,1.001,23.92,38.82,,1.003,64.56,6.05,79.08,60.24,2.53,14.46,47.06
72,Felix Auger Aliassime,Canada,CAN,9944,1080,64.2,74.05,49.8,338.3,3093,1575,,29.25,550,0.993,1.964,1.038,20.06,44.36,,1.074,64.11,11.47,82.24,58.93,2.262,22.32,62.71
73,Daniel Evans,United Kingdom,GBR,13128,727,60.91,70.27,50.5,322,4580,2274,,29.51,481,0.991,1.511,0.999,22.93,41.97,,1.007,62.52,5.02,78.26,52.38,2.444,21.43,57.5
74,Yuichi Sugita,Japan,JPN,10008,495,60.56,68.02,49.06,311.9,3425,1605,,26.39,349,0.969,1.418,0.906,19.15,37.46,,0.735,60,3.83,70.64,,2.158,,
75,Guido Pella,Argentina,ARG,20139,1227,64.95,69.18,51.75,329.5,6240,3085,112,27.62,567,1.008,2.164,0.997,20.92,40.94,235,0.949,61.82,5.58,77.75,53.09,2.427,24.69,57.5
76,Taylor Harry Fritz,United States,USA,17050,1927,58.56,74.75,50.53,335.3,5349,2677,106,25.86,532,0.983,3.622,0.99,18.2,37.55,210,0.989,60.82,11.99,83.35,52.88,2.202,25.96,55.36
77,Jiri Vesely,Czech Republic,CZE,21245,2003,64.62,71.95,50.93,336.1,6943,3461,127,26.86,951,0.992,2.106,0.984,18.86,37.78,270,0.989,63.22,12.62,84.91,53.19,2.167,21.28,42.42
78,Pierre Hugues Herbert,France,FRA,16557,1765,59.06,73.73,50.94,333,5286,2581,92,26.21,790,0.964,2.234,0.946,16.27,37.25,203,0.865,61.85,8.76,78.82,48.65,2.242,16.22,51.85
79,Ricardas Berankis,Lithuania,LTU,17392,989,56.88,70.59,51.28,316.6,6237,3074,112,26.91,764,0.988,1.295,0.953,19.84,35.04,238,0.869,58.03,4.12,76.38,47.62,2.302,14.29,65.22
80,Horacio Zeballos,Argentina,ARG,16590,1286,62.31,70.78,51.39,330.2,5514,2608,91,24.05,551,0.944,2.334,0.88,15.07,40.69,224,0.731,37.13,,,,,,
81,Frances Tiafoe,United States,USA,14623,1167,61.91,70.72,51.68,328.2,4644,2267,,26.62,466,0.994,2.504,0.963,18.65,39.78,,0.891,60.23,6.55,78.93,47.56,2.295,25.61,53.06
82,Nicolas Mahut,France,FRA,32093,3123,60.84,73.3,50.39,332.3,10369,5090,181,26.5,1419,0.986,2.201,0.957,17.04,38.35,406,0.899,38.38,,,,,,
83,Cameron Norrie,United Kingdom,GBR,10248,628,64.85,68.95,48.42,322.2,3189,1591,,30.15,469,0.993,1.339,0.981,23.03,40.94,,0.989,60.49,6.31,75.59,47.67,2.409,25.88,38.71
84,Alex De Minaur,Australia,AUS,12140,564,60.88,70.94,52.9,325.7,3708,1905,,29.72,388,1.028,1.454,1.062,23.52,42.44,,1.141,59.65,4.85,81.47,62.22,2.561,24.44,57.14
85,Hyeon Chung,"Korea, Republic of",KOR,10996,526,62.4,70.27,50.7,319,3606,1870,,30.05,403,1.042,1.305,1.049,26.11,40.03,,1.157,55.79,6.4,,,,,
86,Matthew Ebden,Australia,AUS,14835,1172,60.97,70.79,45.7,309.8,4913,2311,79,27.59,951,0.967,1.232,0.909,19.38,37.02,205,0.739,58.9,7.94,75.48,,2.271,,
87,Damir Dzumhur,Bosnia and Herzegovina,BIH,17927,584,64.25,65.1,49.47,305.5,6170,3012,117,31.86,648,1.01,0.901,0.972,26.77,38.33,246,0.914,57.87,3.03,69.49,34.04,2.445,8.51,
88,Paolo Lorenzi,Italy,ITA,22076,1163,58.65,68.97,49.01,309.7,7208,3359,110,28.03,785,0.989,1.482,0.911,19.49,41.99,294,0.747,60.98,4.9,78.45,,2.056,,
89,Casper Ruud,Norway,NOR,8799,494,65.65,70.33,52.89,334.9,2782,1454,,27.97,292,0.977,1.692,1.022,22.25,41.5,,1.178,62.83,5.4,82.37,60.24,2.35,17.07,33.33
90,Nicolas Jarry,Chile,CHI,9024,989,63.1,72.36,52.32,339.8,2947,1442,,25.55,317,0.968,3.12,0.953,15.6,38.77,,0.859,61.29,10.94,80.68,43.18,2.041,22.73,53.33
91,Christian Garin,Chile,CHI,8890,517,60.71,69.93,49.63,317.9,3096,1560,,30.36,351,1.017,1.473,1.002,24.38,41.07,,1.01,62.06,5.82,76.75,58.06,2.478,23.66,53.33
92,Denis Kudla,United States,USA,11969,891,57.99,69.59,50.44,313.6,3927,1836,,26.74,530,0.981,1.681,0.914,18.76,34.52,,0.746,53.53,7.5,72.94,,2.212,,
93,Andrey Kuznetsov,Russian Federation,RUS,13719,885,57.82,71.39,49.88,316.8,4433,2172,,28.85,505,1.033,1.752,0.982,21.32,36.75,,0.904,36.83,,,,,,
94,John Millman,Australia,AUS,16589,868,61.69,68.51,52.44,320.8,5165,2571,,28.43,402,0.985,2.159,0.991,22.74,39.5,,0.966,61.79,5.23,77.82,45.98,2.391,25.29,45.83
95,Reilly Opelka,United States,USA,8519,1964,62.78,79.87,54.71,374.8,2796,1404,,20.62,335,0.972,5.863,0.949,9.61,39.13,,1,66.99,23.99,90.75,52.56,1.672,19.23,48.05
96,Tommy Paul,United States,USA,5421,313,61.19,68.94,51.84,321.4,,,,28.08,153,0.998,2.046,0.982,0,39.43,,,59.76,5.81,77.36,47.83,2.421,21.74,40.91
97,Yoshihito Nishioka,Japan,JPN,11087,264,64.9,63.41,53.5,312.6,3497,1682,,28.03,245,1.001,1.078,0.956,24.6,39.7,,0.878,59.48,2.55,72.54,47.95,2.515,15.07,51.85
98,Evgeny Donskoy,Russian Federation,RUS,12301,800,58.58,70.01,49.86,319.8,4180,1912,,25.53,376,0.986,2.128,0.881,14.92,37.42,,0.636,34.53,,,,,,
99,Peter Gojowczyk,Germany,GER,10516,966,54.82,74.46,48.22,319,3434,1657,,27.27,506,0.979,1.909,0.95,19.11,36.34,,0.857,60.27,8.17,75.16,,2.217,,
100,Go Soeda,Japan,JPN,8141,336,55.97,67.43,48.44,296.2,3767,1766,,26.6,304,0.971,1.105,0.843,17.17,38.15,,0.583,35.99,,,,,,
101,Thiago Monteiro,Brazil,BRA,9269,579,65.22,71.06,51.11,331,3032,1482,,25.84,275,0.975,2.105,0.957,18.17,42.63,,0.874,62.59,7.19,81.69,45.83,2.251,14.89,44
102,Alexander Bublik,Kazakhstan,KAZ,7792,1173,58.25,75.5,45.23,325.5,2496,1217,,28.37,628,0.97,1.868,0.937,18.52,37.32,,0.877,62.5,15.24,80.41,53.01,2.179,10.84,52.17
103,Roberto Carballes Baena,Spain,ESP,9466,359,62.56,67.06,49.25,309.8,2954,1437,,29.85,390,0.983,0.921,0.971,24.5,44.18,,0.911,57.63,3.59,71.72,46.77,2.51,11.29,45
104,Jordan Thompson,Australia,AUS,11146,791,63.78,70.18,48.58,324,3586,1750,,28.04,312,0.991,2.535,0.954,19.64,42.71,,0.876,62.57,7.05,80.76,51.95,2.234,18.18,41.67
105,Hubert Hurkacz,Poland,POL,9604,904,62.96,72.56,49.46,333.9,3008,1515,,27.92,393,0.978,2.3,0.999,19.39,39.89,,0.999,62.78,9.76,81.98,56.84,2.306,18.95,53.66
